program_id,organization_name,organization_type,sport_type,program_name,program_type,skill_level,address_street,address_city,address_state,address_zip,county,metro_area,latitude,longitude,phone,email,contact_name,director_name,website,social_media_facebook,social_media_instagram,age_min,age_max,age_groups,gender,team_based,season,registration_fee,monthly_fee,annual_fee,scholarship_available,scholarship_percentage,equipment_provided,transportation_provided,reviews_text,average_rating,review_count,verified,data_source,last_verified,notes,keywords_long_tail,facility_type,facility_amenities,coaches_available,certifications,parent_involvement
FL_00001,City of Greenacres – Community & Recreation Services,City Parks & Recreation,Soccer,Co‑Ed Soccer (Fall),League,all_levels,"Greenacres Community Center, 501 Swain Blvd",Greenacres,FL,33463,Palm Beach County,West Palm Beach,Unknown,Unknown,+1-561-642-2090,mthompson@greenacresfl.gov,Community & Recreation Services,Michele Thompson,https://greenacresfl.gov/community-rec/page/youth-athletics,Unknown,Unknown,5,15,5‑15,unknown,Yes,fall,$130 resident / $150 non-resident,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0,Yes,greenacresfl.gov | user_addition,2025-12-13,"Recreational co‑ed league; fee includes uniform shirt, shorts & closing ceremony | Facility: Greenacres Community Center. Includes uniform; Reg Aug 1-Sept 19. Season detail: Fall 2025.","youth soccer Greenacres florida,soccer for kids Greenacres fl,co‑ed soccer (fall) Greenacres fl",recreation_center,Unknown,Yes,Unknown,Unknown
FL_00002,City of Greenacres – Community & Recreation Services,City Parks & Recreation,Basketball,Co‑Ed Basketball League (Winter),League,all_levels,"Greenacres Community Center, 501 Swain Blvd",Greenacres,FL,33463,Palm Beach County,West Palm Beach,Unknown,Unknown,+1-561-642-2090,mthompson@greenacresfl.gov,Community & Recreation Services,Michele Thompson,https://greenacresfl.gov/community-rec/page/youth-athletics,Unknown,Unknown,5,17,5‑17,unknown,Yes,winter,$120 resident / $140 non-resident,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0,Yes,greenacresfl.gov | user_addition,2025-12-13,Co‑ed recreational league; fee includes uniform shirt and end‑of‑season championship games | Facility: Greenacres Community Center. Games begin Jan 5; Championship in March. Season detail: Winter 2026.,"youth basketball Greenacres florida,basketball for kids Greenacres fl,co‑ed basketball league (winter) Greenacres fl",recreation_center,Unknown,Yes,Unknown,Unknown
FL_00003,City of Greenacres – Community & Recreation Services,City Parks & Recreation,Soccer,Co‑Ed Soccer (Spring),League,all_levels,"Greenacres Community Center, 501 Swain Blvd",Greenacres,FL,33463,Palm Beach County,West Palm Beach,Unknown,Unknown,+1-561-642-2090,mthompson@greenacresfl.gov,Community & Recreation Services,Michele Thompson,https://greenacresfl.gov/community-rec/page/youth-athletics,Unknown,Unknown,5,15,5‑15,unknown,Yes,spring,$130 resident / $150 non-resident,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0,Yes,greenacresfl.gov,2025-12-13,"Spring recreational soccer league; fee includes uniform shirt, shorts & closing ceremony","youth soccer Greenacres florida,soccer for kids Greenacres fl,co‑ed soccer (spring) Greenacres fl",recreation_center,Unknown,Yes,Unknown,Unknown
FL_00004,City of Greenacres – Community & Recreation Services,City Parks & Recreation,Basketball,Co‑Ed Basketball Skill Development Program (Spring),Training,all_levels,"Greenacres Community Center, 501 Swain Blvd",Greenacres,FL,33463,Palm Beach County,West Palm Beach,Unknown,Unknown,+1-561-642-2090,mthompson@greenacresfl.gov,Community & Recreation Services,Michele Thompson,https://greenacresfl.gov/community-rec/page/youth-athletics,Unknown,Unknown,5,17,5‑17,unknown,Unknown,spring,$120 per child,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0,Yes,greenacresfl.gov,2025-12-13,Skill‑development program organized by age; training times by age group,"youth basketball Greenacres florida,basketball for kids Greenacres fl,co‑ed basketball skill development program (spring) Greenacres fl",Unknown,Unknown,Unknown,Unknown,Unknown
FL_00005,City of Greenacres – Community & Recreation Services,City Parks & Recreation,Basketball,Co‑Ed Basketball Camp (Summer),Camp,all_levels,"Greenacres Community Center, 501 Swain Blvd",Greenacres,FL,33463,Palm Beach County,West Palm Beach,Unknown,Unknown,+1-561-642-2090,mthompson@greenacresfl.gov,Community & Recreation Services,Michele Thompson,https://greenacresfl.gov/community-rec/page/youth-athletics,Unknown,Unknown,3,12,Grades 3–12,unknown,Unknown,summer,$85 per child,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0,Yes,greenacresfl.gov,2025-12-13,Camp for grades 3‑high school; groups organized by boys and girls; fee includes camp shirt,"youth basketball Greenacres florida,basketball for kids Greenacres fl,co‑ed basketball camp (summer) Greenacres fl",school,Unknown,Unknown,Unknown,Unknown
FL_00006,City of Fruitland Park – Parks & Recreation,City Parks & Recreation,"Soccer, T‑Ball, Basketball","Youth Sports Program (Soccer, T‑Ball, Basketball)",Program,all_levels,"City of Fruitland Park Community Center, 205 W. Berckman St, Fruitland Park",Fruitland Park,FL,34731,Lake County,Orlando,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,https://www.fruitlandpark.org/parksrec/page/youth-sports,Unknown,Unknown,Unknown,Unknown,Varies by sport,unknown,Unknown,spring,$50 per athlete,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0,Yes,www.fruitlandpark.org,2025-12-13,"City program offering co‑ed soccer, t‑ball and basketball; registration handled online","youth soccer, t‑ball, basketball Fruitland Park florida,soccer, t‑ball, basketball for kids Fruitland Park fl,youth sports program (soccer, t‑ball, basketball) Fruitland Park fl",park,Unknown,Unknown,Unknown,Unknown
FL_00007,City of Fruitland Park – Parks & Recreation,City Parks & Recreation,Football,Flag Football & Cheerleading Program,Program,all_levels,"City of Fruitland Park Community Center, 205 W. Berckman St, Fruitland Park",Fruitland Park,FL,34731,Lake County,Orlando,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,https://www.fruitlandpark.org/parksrec/page/youth-sports,Unknown,Unknown,Unknown,Unknown,Varies,unknown,Unknown,fall,$70 per athlete,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0,Yes,www.fruitlandpark.org,2025-12-13,Offers flag football and cheerleading; higher fee due to equipment and uniforms,"youth flag football, cheerleading Fruitland Park florida,flag football, cheerleading for kids Fruitland Park fl,flag football & cheerleading program Fruitland Park fl",park,Unknown,Unknown,Unknown,Unknown
FL_00008,City of Gainesville Parks & Recreation – Start Smart Programs,City Parks & Recreation,Basketball,Start Smart Basketball,Program,all_levels,"Martin Luther King Jr. Multipurpose Center, 1028 NE 14th St, Gainesville FL 32601",Gainesville Parks & Recreation,FL,32601,Alachua County,Gainesville,Unknown,Unknown,+1-352-334-5067,rec@gainesvillefl.gov,"Parks, Recreation & Cultural Affairs",Unknown,https://www.gainesvillefl.gov/Government-Pages/Government/Departments/Parks-Recreation-Cultural-Affairs/Sports-Swimming-Fitness/Athletics/Start-Smart-Programs,Unknown,Unknown,3,5,3‑5,unknown,Unknown,fall,$47.25 resident / $59.06 non-resident,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0,Yes,www.gainesvillefl.gov | user_addition,2025-12-13,"Parent‑child program teaching fundamentals; indoor gym; includes basketball, t‑shirt and medal | Facility: MLK Jr. Multipurpose Center. Parent-child program; Reg opens Aug 4. Season detail: Fall 2025.","youth basketball Gainesville Parks & Recreation florida,basketball for kids Gainesville Parks & Recreation fl,start smart basketball Gainesville Parks & Recreation fl",gym,Unknown,Unknown,Unknown,Unknown
FL_00009,City of Gainesville Parks & Recreation – Start Smart Programs,City Parks & Recreation,Baseball,Start Smart Baseball,Program,all_levels,"Martin Luther King Jr. Multipurpose Center, 1028 NE 14th St, Gainesville FL 32601",Gainesville Parks & Recreation,FL,Unknown,Alachua County,Gainesville,Unknown,Unknown,+1-352-334-5067,rec@gainesvillefl.gov,"Parks, Recreation & Cultural Affairs",Unknown,https://www.gainesvillefl.gov/Government-Pages/Government/Departments/Parks-Recreation-Cultural-Affairs/Sports-Swimming-Fitness/Athletics/Start-Smart-Programs,Unknown,Unknown,3,5,3‑5,unknown,Unknown,unknown,$47.25 resident / $59.06 non-resident,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0,Yes,www.gainesvillefl.gov,2025-12-13,"Parent‑child program; includes bat/ball, t‑shirt and medal","youth baseball Gainesville Parks & Recreation florida,baseball for kids Gainesville Parks & Recreation fl,start smart baseball Gainesville Parks & Recreation fl",Unknown,Unknown,Unknown,Unknown,Unknown
FL_00010,City of Gainesville Parks & Recreation – Start Smart Programs,City Parks & Recreation,Soccer,Start Smart Soccer,Program,all_levels,"Martin Luther King Jr. Multipurpose Center, 1028 NE 14th St, Gainesville FL 32601",Gainesville Parks & Recreation,FL,Unknown,Alachua County,Gainesville,Unknown,Unknown,+1-352-334-5067,rec@gainesvillefl.gov,"Parks, Recreation & Cultural Affairs",Unknown,https://www.gainesvillefl.gov/Government-Pages/Government/Departments/Parks-Recreation-Cultural-Affairs/Sports-Swimming-Fitness/Athletics/Start-Smart-Programs,Unknown,Unknown,3,5,3‑5,unknown,Unknown,unknown,$47.25 resident / $59.06 non-resident,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0,Yes,www.gainesvillefl.gov,2025-12-13,"Parent‑child program; includes soccer ball, t‑shirt and medal","youth soccer Gainesville Parks & Recreation florida,soccer for kids Gainesville Parks & Recreation fl,start smart soccer Gainesville Parks & Recreation fl",Unknown,Unknown,Unknown,Unknown,Unknown
